Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
7/21/25,77.1,77.2,76.8,77,72,55755,4294099.7
7/18/25,76.8,77.1,76.8,77.1,22,6996,537960.1
7/17/25,77.5,77.5,76.6,77,88,65320,5024906.2
7/16/25,77.7,77.9,77,77.4,57,48859,3771195.7
7/15/25,78,78,77,77.6,149,320261,24903586.2
7/14/25,78,78.5,77.5,78,139,681735,53162756.5
2007-11-25,77,78.5,77,77.8,129,419392,32661389.9
2007-09-25,77.6,78.7,77,78.3,158,571338,44619995.9
2007-08-25,77.8,77.8,77,77.5,45,28983,2234389.8
2007-07-25,80,80,77.4,77.6,89,227828,17947696.7
2007-04-25,78.5,78.5,77,77.3,103,170854,13187806.2
2007-03-25,79.2,79.2,78.3,78.5,86,187160,14692654.4
2007-02-25,80,80.5,78.7,79,143,313324,24870206.6
2007-01-25,77,80.4,76.9,78.3,309,1252122,97929257.5
6/30/25,77,79,76.6,77.8,101,98638,7673268.5
6/27/25,77,77,76,76.6,101,91996,7050036
6/26/25,76.9,76.9,75.7,76.5,81,113216,8658099.3
6/25/25,76.5,77,76.3,76.5,98,530792,40624015.3
6/24/25,75,77.5,75,75.9,72,28634,2173968.8
6/23/25,74,75.9,74,75,107,188253,14121460.4
6/20/25,76.5,76.9,76,76.6,74,237395,18103196.8
6/19/25,75.9,76.9,75,75.1,117,155049,11824059.2
6/18/25,77,77,76.5,76.5,81,261017,19981646.5
6/17/25,77.5,77.5,76.5,76.6,101,150319,11513610.2
6/16/25,76.5,77.5,76,77.1,145,937339,72160652.6
6/13/25,77.7,78.5,76.5,77.1,166,1163829,89639350.6
2006-12-25,78.8,78.8,77.7,77.9,83,26275,2048225.1
2006-11-25,78.5,78.6,77.5,78,164,699856,54530118.7
2006-09-25,78.5,78.8,76.7,78.5,192,193751,15157262.8
2006-06-25,81.4,81.4,77.8,78.4,204,231177,18498278
2006-05-25,80.2,81.4,80.2,81,218,186089,15059253
2006-04-25,79.2,80.3,79,80,379,1855960,148256795.2
2006-03-25,77.3,79,77.3,78.5,318,4107497,318716657.2
2006-02-25,77,77.5,77,77,197,693677,53505680.5
5/30/25,76,77,74.8,76.5,156,2112513,160685763.2
5/29/25,75,76.5,75,76,179,1883155,141988775.2
5/28/25,73.5,75.5,73.3,74.9,304,2286956,168849774.5
5/27/25,73.2,73.5,72.4,73.5,64,156779,11482249.6
5/26/25,72.8,73.3,72,72.3,37,10999,802882.3
5/23/25,71.8,73.5,71.6,72,93,1413714,101800143.2
5/22/25,73.5,73.5,71.8,72,71,116634,8475505.7
5/21/25,71.5,73.5,71.1,71.5,94,45821,3336228.6
5/20/25,72,72.5,71.2,71.5,41,27742,1999370.3
5/19/25,72,72.5,71.1,71.5,32,30490,2179955.5
5/16/25,72,72.2,71.5,72.1,69,1251108,88966382.9
5/15/25,72.3,72.5,71.9,72,57,407748,29358189.5
5/14/25,72,72,70.5,72,91,74773,5372053.4
2005-09-25,71,72,70.4,71.5,54,70961,5057079.3
2005-08-25,71.3,72,70.3,71.1,99,56338,3991245.8
2005-07-25,70.7,72,70.7,71.1,45,28238,2026123.4
2005-06-25,71,72.4,71,71.4,41,25753,1837370.1
2005-05-25,72.4,72.4,71.1,71.3,67,59170,4225047.7
2005-02-25,71.9,72.4,70,71.8,53,32401,2280253.5
4/30/25,72.9,72.9,71.9,72,16,18110,1304458.3
4/29/25,72.4,72.5,71.6,72,50,56506,4068558.1
4/28/25,71.4,72.5,71.4,72.4,32,2930,211693.2
4/25/25,71,72,70.5,71,64,36366,2582421.5
4/24/25,71,71,70.5,70.6,39,8066,570592.5
4/23/25,70.2,72,70.1,71,82,40273,2839636.5
4/22/25,72.6,72.6,70,70.8,95,54051,3842934.6
4/21/25,72.6,73,72.3,72.4,26,3085,223623.8
4/17/25,73.5,73.6,71,72.6,53,8899,644274.7
4/16/25,74,74,72.3,73,40,13153,960610.8
2004-11-25,74,74,71,72.1,50,29077,2100165.8
2004-10-25,71.5,74,71.5,73,103,167728,12243603.9
2004-09-25,72,72,70.2,70.5,148,5365962,380512161.6
2004-08-25,69.5,72.9,69.1,72,94,353486,25132731.8
2004-07-25,72,72,69.5,70.5,201,3252887,230715036.3
2004-04-25,72.1,73.9,71.4,71.6,81,1145936,82139325.3
2004-03-25,73.5,74.3,71.9,72.8,89,40182,2908644.3
2004-02-25,74.3,74.3,73.8,73.9,50,17105,1265696.6
2004-01-25,73.5,74.5,73,74.3,52,85391,6289484.9
3/28/25,73.9,73.9,73,73.1,18,9686,709943.9
3/27/25,73.9,73.9,72.8,73,27,5138,377386
3/26/25,73.3,74,72.6,73.1,32,8036,587292.2
3/25/25,74.9,74.9,72.5,73.3,65,18024,1329401.4
3/24/25,73,74.9,72.5,74,42,35440,2608518.4
3/21/25,71.2,72.5,71.2,72,40,28203,2026089.4
3/20/25,71.4,72.5,71.2,72,64,94851,6824380.5
3/19/25,71,71.5,71,71.2,41,45520,3234979.7
3/18/25,72,72,71,71.3,171,438359,31258037.8
3/17/25,72.9,72.9,71.5,72,57,61292,4407622.4
3/14/25,72,73.4,72,73,52,7847,568314.8
2003-12-25,71.1,72.9,70.5,72,88,143313,10169565.3
2003-11-25,71.2,72.1,70.5,71,153,287861,20413554
2003-10-25,74.8,74.8,72,72.1,51,9846,716290.6
2003-07-25,74.9,74.9,72.7,73.4,35,48002,3519151.8
2003-06-25,75.8,75.8,73,73.5,49,31347,2297339.2
2003-05-25,71.2,76.2,71.2,75,125,245472,18652468.6
2003-04-25,73,73,71,71.6,80,104762,7495213.7
2003-03-25,72.5,75,71.5,71.5,91,198933,14281877.2
2/28/25,72.5,74.5,72.5,72.8,53,27978,2052229.1
2/27/25,72.1,74,71.8,72.4,108,34625,2524940.4
2/25/25,74,74,71,71.7,165,72916,5241704.8
2/24/25,74.5,74.8,73.4,74,104,147381,10900438.9
2/21/25,74.9,74.9,73.8,74.5,68,36691,2731301
2/20/25,75.8,75.8,73.9,74,92,94656,7008639.1
2/19/25,77.3,77.3,74,75,151,123124,9204192.1
2/18/25,78.3,78.3,75.6,77.3,104,31229,2410280.3
2/17/25,75,79,75,78,253,221159,17247509
2/14/25,74.9,75.3,73.5,75,181,83931,6267055
2/13/25,74,74.3,73.8,74,179,90135,6669397.7
2002-11-25,72.8,74.8,71,73.9,194,224738,16227526.4
2002-10-25,75,75,72.6,72.9,196,235208,17215081.1
2002-07-25,74,75,73.8,73.9,161,68948,5137157.7
2002-06-25,74.1,76.8,73.7,74.2,285,346996,25797501.9
2002-05-25,77.1,77.1,74,74,498,717833,53538761.8
2002-03-25,75.2,79,73.6,77.2,408,344772,26207941.2
1/31/25,80,80,73,75.2,788,930751,70295196.4
1/30/25,80.7,81,78.5,79,348,155631,12375341.9
1/29/25,80.8,83,79.7,80,502,538720,43701452.2
1/28/25,82,83.5,80.3,81.1,289,962358,78181588.1
1/27/25,82.3,82.5,79.7,80.1,253,270697,21761896.5
1/24/25,81.5,83,79,79.6,404,244545,19611848
1/23/25,83.3,83.5,80,81,441,720529,58222771.6
1/22/25,80.7,84,79.6,82.5,442,790328,64960072.2
1/21/25,84.5,84.5,80.6,81.1,763,1052235,85715573.7
1/20/25,85.5,86,83,83.3,407,615401,51780727.3
1/17/25,86.3,87,84.2,85.2,684,788019,67382446.9
1/16/25,88.5,89.5,85.7,86.3,993,1398205,122331559.3
1/15/25,77.2,89.8,77.2,88.1,2207,3298714,279178259.9
2001-10-25,69.5,76.9,69.4,74.7,1122,2425934,175981081.9
2001-09-25,69.8,70.2,69.3,69.5,156,1861629,129530978.5
2001-08-25,70,70.5,69.5,69.6,184,387676,27114314.7
2001-07-25,70,72,69.5,70,573,2487721,174672497.9
2001-06-25,68,70.1,67.7,69.3,339,3048128,211750619.3
2001-03-25,70,70,67,67.1,261,375690,25699338.1
2001-02-25,68,69.7,68,69.2,245,1414528,97286521.4
12/31/24,68.9,69.1,66.6,67.5,170,191193,13074365.4
12/30/24,69.2,70.2,68.7,68.9,243,1682291,117608303.8
12/27/24,68,69.3,67,69,292,1155269,79555212.3
12/26/24,68.1,68.5,66,68.1,316,267399,17825708.3
12/24/24,67.6,68.8,67,67.9,192,316145,21579930
12/23/24,69.5,69.5,67.2,67.8,207,287245,19765758.1
12/20/24,68.5,70,67.5,68.3,249,258429,17735147.7
12/19/24,69,71,68.5,68.8,578,2119307,142802193
12/18/24,65.5,69.4,65.5,69.1,679,1153176,78818085.6
12/17/24,65,66,63.8,65,232,1395003,89937195.9
12/16/24,66.7,67.8,63.1,63.8,648,416862,26972213.4
12/13/24,66,67.8,65.5,66.5,462,326729,21785048.4
